hodges_list,p_no,preferred_name,date,verbatim_name,count
415,300168,Monopis crocicapitella (Clemens),1998-04-20,Monopis crocicapitella (Clem.),2
415,300168,Monopis crocicapitella (Clemens),1998-04-26,Monopis crocicapitella (Clem.),1
433,300195,Opogona omoscopa (Meyrick),1998-04-16,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-04-17,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-04-18,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-04-19,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-04-20,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-04-21,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-04-27,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-04-28,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-05-04,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-05-10,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-05-17,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-05-18,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-05-23,Opogona omoscopa (Meyr.),5
433,300195,Opogona omoscopa (Meyrick),1998-05-30,Opogona omoscopa (Meyr.),4
433,300195,Opogona omoscopa (Meyrick),1998-05-31,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-06-04,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-06-19,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-06-26,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-07-05,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-07-07,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-07-13,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-07-14,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-07-22,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-07-24,Opogona omoscopa (Meyr.),3
433,300195,Opogona omoscopa (Meyrick),1998-07-26,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-07-28,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-07-30,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-08-01,Opogona omoscopa (Meyr.),3
433,300195,Opogona omoscopa (Meyrick),1998-08-04,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-08-06,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-08-13,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-08-19,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-08-21,Opogona omoscopa (Meyr.),4
433,300195,Opogona omoscopa (Meyrick),1998-08-26,Opogona omoscopa (Meyr.),3
433,300195,Opogona omoscopa (Meyrick),1998-08-29,Opogona omoscopa (Meyr.),3
433,300195,Opogona omoscopa (Meyrick),1998-08-31,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-09-03,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-09-05,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-09-10,Opogona omoscopa (Meyr.),2
433,300195,Opogona omoscopa (Meyrick),1998-10-03,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-10-06,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-10-30,Opogona omoscopa (Meyr.),1
433,300195,Opogona omoscopa (Meyrick),1998-11-03,Opogona omoscopa (Meyr.),2
434,300198,Oinophila v-flava (Haworth),1998-07-05,Oinophila v-flava (Haw.),1
466,36a0002,Bedellia somnulentella (Zeller),1998-07-24,Bedellia somnulentella (Zell.),1
466,36a0002,Bedellia somnulentella (Zeller),1998-08-26,Bedellia somnulentella (Zell.),1
466,36a0002,Bedellia somnulentella (Zeller),1998-08-29,Bedellia somnulentella (Zell.),1
466,36a0002,Bedellia somnulentella (Zeller),1998-08-31,Bedellia somnulentella (Zell.),2
466,36a0002,Bedellia somnulentella (Zeller),1998-09-10,Bedellia somnulentella (Zell.),2
466,36a0002,Bedellia somnulentella (Zeller),1998-09-22,Bedellia somnulentella (Zell.),1
466,36a0002,Bedellia somnulentella (Zeller),1998-10-03,Bedellia somnulentella (Zell.),1
466,36a0002,Bedellia somnulentella (Zeller),1998-10-06,Bedellia somnulentella (Zell.),2
466,36a0002,Bedellia somnulentella (Zeller),1998-10-19,Bedellia somnulentella (Zell.),1
1134,59a0002,Oegoconia novimundi (Busck),1998-06-26,Oegoconia novimundi (Bsk.),2
1134,59a0002,Oegoconia novimundi (Busck),1998-07-22,Oegoconia novimundi (Bsk.),1
1134,59a0002,Oegoconia novimundi (Busck),1998-07-24,Oegoconia novimundi (Bsk.),1
1134,59a0002,Oegoconia novimundi (Busck),1998-09-20,Oegoconia novimundi (Bsk.),1
1134,59a0002,Oegoconia novimundi (Busck),1998-09-28,Oegoconia novimundi (Bsk.),1
1246,59a1804,Pigritia murtfeldtella (Chambers) or similar species,1998-05-22,Pigritia murtfeldtella? (Cham.),1
1246,59a1804,Pigritia murtfeldtella (Chambers) or similar species,1998-05-24,Pigritia murtfeldtella? (Cham.),1
1246,59a1804,Pigritia murtfeldtella (Chambers) or similar species,1998-05-31,Pigritia murtfeldtella? (Cham.),1
1246,59a1804,Pigritia murtfeldtella (Chambers) or similar species,1998-06-14,Pigritia murtfeldtella? (Cham.),1
1246,59a1804,Pigritia murtfeldtella (Chambers) or similar species,1998-06-17,Pigritia murtfeldtella? (Cham.),1
1246,59a1804,Pigritia murtfeldtella (Chambers) or similar species,1998-08-23,Pigritia murtfeldtella? (Cham.),1
1246,59a1804,Pigritia murtfeldtella (Chambers) or similar species,1998-08-29,Pigritia murtfeldtella? (Cham.),1
1246,59a1804,Pigritia murtfeldtella (Chambers) or similar species,1998-09-10,Pigritia murtfeldtella? (Cham.),1
1246,59a1804,Pigritia murtfeldtella (Chambers) or similar species,1998-09-28,Pigritia murtfeldtella? (Cham.),1
1255,59a1628.1,Coleophora sacramenta Heinrich or similar species,1998-05-23,Coleophora sacramenta Heinrich (was A),1
1255,59a1628.1,Coleophora sacramenta Heinrich or similar species,1998-05-31,Coleophora sacramenta Heinrich (was A),1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-05-24,"Coleophora B: buff, white streaks, black speckles",1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-05-31,"Coleophora B: buff, white streaks, black speckles",1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-06-05,"Coleophora B: buff, white streaks, black speckles",1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-06-14,"Coleophora B: buff, white streaks, black speckles",1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-06-17,"Coleophora B: buff, white streaks, black speckles",1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-07-03,"Coleophora B: buff, white streaks, black speckles",1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-07-17,"Coleophora B: buff, white streaks, black speckles",1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-07-24,"Coleophora B: buff, white streaks, black speckles",2
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-08-13,"Coleophora B: buff, white streaks, black speckles",1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-08-26,"Coleophora B: buff, white streaks, black speckles",1
1398B,59a1659.2,"Coleophora sp. B: buff, white streaks, black speckles",1998-09-28,"Coleophora B: buff, white streaks, black speckles",1
1398C,59a1659.3,"Coleophora sp. C: yellowish tan, white antennae",1998-08-23,"Coleophora C: yellowish tan, white antennae",1
1398C,59a1659.3,"Coleophora sp. C: yellowish tan, white antennae",1998-10-03,"Coleophora C: yellowish tan, white antennae",2
1443,59a1833,Mompha eloisella (Clemens),1998-06-14,Mompha eloisella  (Clem.),1
1458J,59a1856.10,"Mompha sp. 10 (black, white bands and dorsum) (was Elachista sp. 2)",1998-07-14,"Mompha sp. 10 (black, white bands and dorsum) (was Elachista sp. 2)",1
1562,59a0268,Periploca ceanothiella (Cosens),1998-05-24,Periploca ceanothiella (Cosens),2
1562,59a0268,Periploca ceanothiella (Cosens),1998-05-31,Periploca ceanothiella (Cosens),9
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-01,Periploca ceanothiella (Cosens),1
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-04,Periploca ceanothiella (Cosens),3
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-05,Periploca ceanothiella (Cosens),5
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-08,Periploca ceanothiella (Cosens),2
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-13,Periploca ceanothiella (Cosens),5
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-14,Periploca ceanothiella (Cosens),2
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-17,Periploca ceanothiella (Cosens),2
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-19,Periploca ceanothiella (Cosens),2
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-22,Periploca ceanothiella (Cosens),1
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-26,Periploca ceanothiella (Cosens),1
1562,59a0268,Periploca ceanothiella (Cosens),1998-06-29,Periploca ceanothiella (Cosens),2
1738,59a0652,Aristotelia fungivorella (Clemens),1998-06-17,Aristotelia sp. 1 (fungivorella?),1
NA,NA,Leucogoniella californica or distincta,1998-08-01,Leucogoniella californica or distincta,1
NA,NA,Leucogoniella californica or distincta,1998-08-26,Leucogoniella californica or distincta,1
NA,NA,Leucogoniella californica or distincta,1998-09-10,Leucogoniella californica or distincta,2
2039,59a1330,Symmetrischema striatella (Murtfeldt),1998-03-11,Symmetrischema striatella (Meyrick),1
2039,59a1330,Symmetrischema striatella (Murtfeldt),1998-06-22,Symmetrischema striatella (Meyrick),1
2050A,59a1352.91,"gnorimoschemine sp. A (mottled grey, narrow wings)",1998-08-21,"gnorimoschemine sp. A (mottled grey, narrow wings)",1
2050B,59a1352.92,"gnorimoschemine sp. B (mottled grey, wider wings)",1998-07-22,"gnorimoschemine sp. B (mottled grey, wider wings)",1
2102,59a0957,Chionodes ochreostrigella (Chambers),1998-10-26,Chionodes ochreostrigella (Cham.),1
2257,59a0453,Anarsia lineatella Zeller,1998-04-28,Anarsia lineatella Zell.,1
2257,59a0453,Anarsia lineatella Zeller,1998-05-22,Anarsia lineatella Zell.,2
2257,59a0453,Anarsia lineatella Zeller,1998-05-30,Anarsia lineatella Zell.,1
2257,59a0453,Anarsia lineatella Zeller,1998-06-05,Anarsia lineatella Zell.,1
2257,59a0453,Anarsia lineatella Zeller,1998-06-14,Anarsia lineatella Zell.,1
2303.1,59a0569,Dichomeris baxa Hodges,1998-10-30,Dichomeris baxa Hodges,1
2366,36a0180,Plutella xylostella (Linnaeus),1998-04-27,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-04-28,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-05-31,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-06-08,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-06-26,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-07-05,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-08-29,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-09-10,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-09-20,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-10-06,Plutella xylostella (L.),4
2366,36a0180,Plutella xylostella (Linnaeus),1998-10-19,Plutella xylostella (L.),2
2366,36a0180,Plutella xylostella (Linnaeus),1998-10-26,Plutella xylostella (L.),1
2366,36a0180,Plutella xylostella (Linnaeus),1998-10-30,Plutella xylostella (L.),1
2707,51a0478,Bactra verutana Zeller,1998-09-10,Bactra verutana Zell.,1
3492,51a1380,Cydia pomonella (Linnaeus),1998-04-16,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-04-17,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-04-19,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-04-20,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-04-21,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-04-26,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-04-27,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-05-17,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-05-18,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-05-23,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-05-24,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-05-30,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-01,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-04,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-05,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-08,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-13,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-14,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-17,Cydia pomonella (L.),4
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-19,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-06-26,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-03,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-05,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-07-07,Cydia pomonella (L.),1
