hodges_list,p_no,preferred_name,date,verbatim_name
102A,NA,Stigmella sp. 1 (tan) (=Davis sp. 3?),1989-08-28,Stigmella sp. (pale tan)
275.10000000000002,300121.1,Nemapogon sp. 1,1989-07-15,Nemapogon sp. nr. arcella
275.10000000000002,300121.1,Nemapogon sp. 1,1989-08-02,Nemapogon sp. nr. arcella
275.10000000000002,300121.1,Nemapogon sp. 1,1989-08-28,Nemapogon sp. nr. arcella
321,300216,Hypoplesia dietziella Busck,1989-07-15,Hypoplesia dietziella Busck (?)
329.1,NA,Amydria n. sp.,1989-08-02,Amydria californica Davis (MS)
329.1,NA,Amydria n. sp.,1989-09-15,Amydria californica Davis (MS)
331,300043,Amydria confusella Dietz,1989-07-01,Ptilopsalta confusella (Dietz)
331,300043,Amydria confusella Dietz,1989-07-15,Ptilopsalta confusella (Dietz)
331,300043,Amydria confusella Dietz,1989-08-28,Ptilopsalta confusella (Dietz)
337.1,300103.1,Acrolophid n. gen. (nr. Amydria) n. sp.,1989-08-02,"Acrolophid n. gen., n. sp."
359,300079,Acrolophus laticapitana (Walsingham),1989-06-16,Acrolophus laticapitanus (Wlsm.)
359,300079,Acrolophus laticapitana (Walsingham),1989-07-01,Acrolophus laticapitanus (Wlsm.)
359,300079,Acrolophus laticapitana (Walsingham),1989-07-15,Acrolophus laticapitanus (Wlsm.)
359,300079,Acrolophus laticapitana (Walsingham),1989-08-02,Acrolophus laticapitanus (Wlsm.)
403,300155,Tinea occidentella Chambers,1989-05-01,Tinea occidentella Cham.
466,36a0002,Bedellia somnulentella (Zeller),1989-08-28,Bedellia somnulentella (Zell.)
466,36a0002,Bedellia somnulentella (Zeller),1989-09-15,Bedellia somnulentella (Zell.)
581B,NA,Bucculatrix sp. 1 (white w/ocher bands),1989-05-01,Bucculatrix sp. 1 (white w/ocher bands)
550,33a0070,Buccuclatrix albertiella Busck or similar species,1989-08-28,Bucculatix sp. 2 (albertiella?)
NA,NA,Bucculatrix separabilis Braun or similar species,1989-08-28,Bucculatrix sp. 3 (dull white w/ brown apex)
630B,33a0214.1,Caloptilia sp./spp. B,1989-07-15,Caloptilia rhoifoliella (Chambers)
630B,33a0214.1,Caloptilia sp./spp. B,1989-08-02,Caloptilia rhoifoliella (Chambers)
841,33a0273,Cameraria wislizeniella Opler,1989-07-15,Cameraria sp.
841,33a0273,Cameraria wislizeniella Opler,1989-08-28,Cameraria sp.
871,59a0083,Agonopterix chrautis Hodges,1989-05-31,Agonopterix chrautis Hodges
896,59a0109,Agonopterix posticella (Walsingham),1989-07-15,Agonopterix posticella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-05-01,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-05-31,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-06-16,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-07-01,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-08-02,Ethmia arctostaphylella (Wlsm.)
979,59a0186,Ethmia arctostaphylella (Walsingham),1989-08-28,Ethmia arctostaphylella (Wlsm.)
980,59a0187,Ethmia discostrigella (Chambers),1989-04-12,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-05-31,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-07-01,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-07-15,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-08-02,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-08-28,Ethmia discostrigella (Cham.)
980,59a0187,Ethmia discostrigella (Chambers),1989-09-15,Ethmia discostrigella (Cham.)
1045,59a0040,Decantha stonda Hodges,1989-05-31,Decantha stonda Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-06-16,Borkhausenia nefrax Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-07-01,Borkhausenia nefrax Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-07-15,Borkhausenia nefrax Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-08-28,Borkhausenia nefrax Hodges
1061,59a0057,Borkhausenia nefrax Hodges,1989-10-18,Borkhausenia nefrax Hodges
NA,NA,Coelopoeta glutonosi Walsingham or similar species,1989-05-31,Coelopoeta glutonosi Walsingham or C. phaceliae Kaila (unident.)
NA,NA,Coelopoeta glutonosi Walsingham or similar species,1989-07-01,Coelopoeta phaceliae (Kaila)
1123A,59a1499.3,"Elachista sp. 1 (cream, 2 dk. brn spots)",1989-05-01,"Elachista sp. 1 (small, white)"
1133,59a0006,Symmoca signatella (Herrich-Schäffer),1989-05-31,Symmoca signatella (H.-S.)
1225A,NA,Blastobasid sp. #1,1989-05-01,Blastobasid sp. #1
1225A,NA,Blastobasid sp. #1,1989-05-31,Blastobasid sp. #1
1225A,NA,Blastobasid sp. #1,1989-08-28,Blastobasid sp. #1
